# Matter power spectrum P(k) at redshift z=100
# for k=1.045e-05 to 106.861 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       4.241569916436e+00 
       1.362707802683e-02       4.249714020972e+00 
       1.375610441532e-02       4.257474939493e+00 
       1.388516723129e-02       4.264859229798e+00 
       1.401426661081e-02       4.271870211476e+00 
       1.414340271265e-02       4.278513350944e+00 
       1.427257571792e-02       4.284792768737e+00 
       1.440178582977e-02       4.290712764590e+00 
       1.453103327311e-02       4.296277051327e+00 
       1.466031829438e-02       4.301492155364e+00 
       1.478964116137e-02       4.306359187237e+00 
       1.491900216301e-02       4.310888009111e+00 
       1.504840160920e-02       4.315076844504e+00 
       1.517783983073e-02       4.318934143048e+00 
       1.530731717916e-02       4.322462756627e+00 
       1.543683402673e-02       4.325666841229e+00 
       1.556639076630e-02       4.328550908517e+00 
       1.569598781137e-02       4.331118530003e+00 
       1.582562559600e-02       4.333374950561e+00 
       1.595530457486e-02       4.335324505816e+00 
       1.608502522327e-02       4.336969400199e+00 
       1.621478803722e-02       4.338316169997e+00 
       1.634459353345e-02       4.339365579040e+00 
       1.647444224958e-02       4.340126266054e+00 
       1.660433474414e-02       4.340599292058e+00 
       1.673427159678e-02       4.340788716588e+00 
       1.686425340835e-02       4.340699381553e+00 
       1.699428080111e-02       4.340336199527e+00 
       1.712435441886e-02       4.339701262462e+00 
       1.725447492718e-02       4.338797833667e+00 
       1.738464301363e-02       4.337635424981e+00 
       1.751485938798e-02       4.336206909678e+00 
       1.764512478243e-02       4.334525736212e+00 
       1.777543995193e-02       4.332591754538e+00 
       1.790580567440e-02       4.330410311545e+00 
       1.803622275109e-02       4.327987080071e+00 
       1.816669200684e-02       4.325318394835e+00 
       1.829721429042e-02       4.322415236167e+00 
       1.842779047491e-02       4.319279501231e+00 
       1.855842145803e-02       4.315911100240e+00 
       1.868910816253e-02       4.312319842993e+00 
       1.881985153660e-02       4.308503184176e+00 
       1.895065255427e-02       4.304465413354e+00 
       1.908151221584e-02       4.300216656003e+00 
       1.921243154835e-02       4.295751115785e+00 
       1.934341160602e-02       4.291076528818e+00 
       1.947445347077e-02       4.286201405896e+00 
       1.960555825268e-02       4.281121128186e+00 
       1.973672709056e-02       4.275841076611e+00 
       1.986796115246e-02       4.270367069710e+00 
       1.999926163623e-02       4.264699984016e+00 
       2.013062977012e-02       4.258841107525e+00 
       2.026206681336e-02       4.252794531173e+00 
       2.039357405681e-02       4.246569508999e+00 
       2.052515282356e-02       4.240162507886e+00 
       2.065680446963e-02       4.233580218329e+00 
       2.078853038464e-02       4.226827928914e+00 
       2.092033199250e-02       4.219894801327e+00 
       2.105221075219e-02       4.212803977766e+00 
       2.118416815845e-02       4.205544928715e+00 
       2.131620574262e-02       4.198125761230e+00 
       2.144832507339e-02       4.190542048281e+00 
       2.158052775766e-02       4.182810813016e+00 
       2.171281544138e-02       4.174920393120e+00 
       2.184518981047e-02       4.166885813715e+00 
       2.197765259164e-02       4.158694706364e+00 
       2.211020555343e-02       4.150365071486e+00 
       2.224285050711e-02       4.141892731274e+00 
       2.237558930770e-02       4.133283644190e+00 
       2.250842385501e-02       4.124537127142e+00 
       2.264135609466e-02       4.115655112897e+00 
       2.277438801924e-02       4.106644536915e+00 
       2.290752166936e-02       4.097508908947e+00 
       2.304075913486e-02       4.088241512203e+00 
       2.317410255604e-02       4.078850549872e+00 
       2.330755412480e-02       4.069345543760e+00 
       2.344111608601e-02       4.059722082542e+00 
       2.357479073879e-02       4.049978901882e+00 
       2.370858043787e-02       4.040120858681e+00 
       2.384248759499e-02       4.030157237117e+00 
       2.397651468034e-02       4.020085421515e+00 
       2.411066422407e-02       4.009909026657e+00 
       2.424493881783e-02       3.999624018046e+00 
       2.437934111633e-02       3.989246110308e+00 
       2.451387383901e-02       3.978759328601e+00 
       2.464853977174e-02       3.968187523901e+00 
       2.478334176854e-02       3.957517294050e+00 
       2.491828275342e-02       3.946756054892e+00 
       2.505336572221e-02       3.935905685613e+00 
       2.518859374453e-02       3.924977909896e+00 
       2.532396996575e-02       3.913952750296e+00 
       2.545949760907e-02       3.902852582341e+00 
       2.559517997761e-02       3.891665919383e+00 
       2.573102045669e-02       3.880403661461e+00 
       2.586702251600e-02       3.869060971894e+00 
       2.600318971206e-02       3.857649472462e+00 
       2.613952569055e-02       3.846162617511e+00 
       2.627603418892e-02       3.834613213839e+00 
       2.641271903892e-02       3.822988562377e+00 
       2.654958416936e-02       3.811312097298e+00 
       2.668663360886e-02       3.799547338088e+00 
       2.682387148875e-02       3.787732474366e+00 
       2.696130204606e-02       3.775868344789e+00 
       2.709892962664e-02       3.763927031852e+00 
       2.723675868836e-02       3.751937802957e+00 
       2.737479380444e-02       3.739894482595e+00 
       2.751303966691e-02       3.727804037981e+00 
       2.765150109016e-02       3.715648586651e+00 
       2.779018301472e-02       3.703462307982e+00 
       2.792909051104e-02       3.691213226571e+00 
       2.806822878351e-02       3.678922063661e+00 
       2.820760317466e-02       3.666582353728e+00 
       2.834721916939e-02       3.654209877967e+00 
       2.848708239949e-02       3.641799062649e+00 
       2.862719864828e-02       3.629334874123e+00 
       2.876757385545e-02       3.616839282554e+00 
       2.890821412206e-02       3.604306018082e+00 
       2.904912571580e-02       3.591736812717e+00 
       2.919031507636e-02       3.579138886142e+00 
       2.933178882113e-02       3.566503768955e+00 
       2.947355375108e-02       3.553837979646e+00 
       2.961561685685e-02       3.541147601797e+00 
       2.975798532515e-02       3.528419669262e+00 
       2.990066654540e-02       3.515678992409e+00 
       3.004366811665e-02       3.502905688963e+00 
       3.018699785478e-02       3.490102554822e+00 
       3.033066380005e-02       3.477293057045e+00 
       3.047467422493e-02       3.464446511019e+00 
       3.061903764232e-02       3.451589557664e+00 
       3.076376281406e-02       3.438712788682e+00 
       3.090885875989e-02       3.425805346625e+00 
       3.105433476679e-02       3.412898361612e+00 
       3.120020039870e-02       3.399969073243e+00 
       3.134646550675e-02       3.387024095299e+00 
       3.149314023990e-02       3.374070090476e+00 
       3.164023505612e-02       3.361099536605e+00 
       3.178776073406e-02       3.348116312289e+00 
